risk_id,risk_name,risk_category,risk_description,likelihood_score,severity_score,risk_rating,mitigation_actions,bank_id,reporting_year,time_horizon,financial_impact_meur,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK02-2023-0001,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK02,2023,short_0_2yr,33.0,False,SCN0024,semi_annual,False,§25(a)
RISK-BANK02-2023-0002,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",5,3,critical,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK02,2023,long_5yr_plus,33.0,True,SCN0032,quarterly,False,§25(a)
RISK-BANK02-2023-0003,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,4,high,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK02,2023,short_0_2yr,72.6,True,SCN0030,semi_annual,True,§25(a)
RISK-BANK02-2023-0004,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,4,critical,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK02,2023,short_0_2yr,122.8,True,,quarterly,True,§25(a)
RISK-BANK02-2023-0005,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,4,critical,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK02,2023,short_0_2yr,54.1,True,SCN0022,quarterly,False,§25(a)
RISK-BANK02-2023-0006,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,4,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK02,2023,short_0_2yr,124.9,True,SCN0035,semi_annual,False,§25(a)
RISK-BANK02-2023-0007,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,5,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK02,2023,long_5yr_plus,558.7,True,,monthly,False,§25(a)
RISK-BANK02-2023-0008,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,3,high,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK02,2023,long_5yr_plus,30.1,True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0001,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,4,critical,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK02,2024,short_0_2yr,70.0,True,,quarterly,True,§25(a)
RISK-BANK02-2024-0002,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,5,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK02,2024,long_5yr_plus,229.4,True,SCN0031,quarterly,True,§25(a)
RISK-BANK02-2024-0003,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK02,2024,medium_2_5yr,20.1,True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0004,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,critical,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK02,2024,medium_2_5yr,9.2,True,,quarterly,True,§25(a)
RISK-BANK02-2024-0005,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,3,5,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK02,2024,medium_2_5yr,441.2,True,,quarterly,False,§25(a)
RISK-BANK02-2024-0006,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK02,2024,medium_2_5yr,131.1,True,SCN0035,monthly,True,§25(a)
RISK-BANK02-2024-0007,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,3,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK02,2024,long_5yr_plus,14.7,False,SCN0033,semi_annual,False,§25(a)
RISK-BANK02-2024-0008,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,4,critical,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK02,2024,short_0_2yr,34.5,True,,quarterly,True,§25(a)
RISK-BANK03-2023-0001,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,5,3,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK03,2023,short_0_2yr,23.5,True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2023-0002,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK03,2023,short_0_2yr,12.3,True,,semi_annual,False,§25(a)
RISK-BANK03-2023-0003,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,4,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK03,2023,short_0_2yr,135.0,True,SCN0042,quarterly,True,§25(a)
RISK-BANK03-2023-0004,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK03,2023,short_0_2yr,61.8,True,SCN0048,semi_annual,False,§25(a)
RISK-BANK03-2023-0005,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK03,2023,medium_2_5yr,398.6,True,,monthly,False,§25(a)
RISK-BANK03-2023-0006,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,3,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK03,2023,long_5yr_plus,13.1,False,,semi_annual,True,§25(a)
RISK-BANK03-2023-0007,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,high,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK03,2023,medium_2_5yr,88.9,True,,semi_annual,True,§25(a)
RISK-BANK03-2023-0008,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,5,critical,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK03,2023,long_5yr_plus,199.5,True,SCN0048,quarterly,True,§25(a)
RISK-BANK03-2024-0001,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,critical,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK03,2024,medium_2_5yr,15.8,True,SCN0039,quarterly,False,§25(a)
RISK-BANK03-2024-0002,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",4,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK03,2024,medium_2_5yr,31.3,True,SCN0043,semi_annual,True,§25(a)
RISK-BANK03-2024-0003,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK03,2024,long_5yr_plus,91.8,True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0004,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,5,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK03,2024,medium_2_5yr,577.0,True,,quarterly,False,§25(a)
RISK-BANK03-2024-0005,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,4,critical,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK03,2024,short_0_2yr,84.1,True,SCN0047,quarterly,False,§25(a)
RISK-BANK03-2024-0006,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,3,high,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK03,2024,medium_2_5yr,13.9,True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0007,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,3,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK03,2024,medium_2_5yr,33.1,True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2024-0008,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,4,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK03,2024,short_0_2yr,152.9,True,SCN0047,quarterly,False,§25(a)
RISK-BANK04-2023-0001,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",5,3,critical,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK04,2023,long_5yr_plus,27.5,True,,quarterly,False,§25(a)
RISK-BANK04-2023-0002,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,3,high,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK04,2023,medium_2_5yr,20.3,True,,semi_annual,True,§25(a)
RISK-BANK04-2023-0003,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,3,high,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK04,2023,long_5yr_plus,29.4,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0004,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,4,high,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK04,2023,medium_2_5yr,79.5,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0005,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK04,2023,medium_2_5yr,28.2,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0006,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK04,2023,medium_2_5yr,14.6,True,SCN0063,semi_annual,False,§25(a)
RISK-BANK04-2023-0007,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,3,high,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK04,2023,medium_2_5yr,25.9,True,SCN0065,semi_annual,False,§25(a)
RISK-BANK04-2023-0008,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,5,5,critical,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK04,2023,short_0_2yr,812.0,True,,monthly,False,§25(a)
RISK-BANK04-2024-0001,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,5,critical,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK04,2024,medium_2_5yr,1774.5,True,SCN0058,monthly,True,§25(a)
RISK-BANK04-2024-0002,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,3,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK04,2024,short_0_2yr,36.9,True,SCN0060,semi_annual,False,§25(a)
RISK-BANK04-2024-0003,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,3,high,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK04,2024,long_5yr_plus,20.6,True,SCN0069,semi_annual,False,§25(a)
RISK-BANK04-2024-0004,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK04,2024,medium_2_5yr,13.9,True,,semi_annual,True,§25(a)
RISK-BANK04-2024-0005,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,5,critical,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK04,2024,long_5yr_plus,231.8,True,SCN0062,monthly,False,§25(a)
RISK-BANK04-2024-0006,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK04,2024,short_0_2yr,64.1,True,SCN0072,quarterly,False,§25(a)
RISK-BANK04-2024-0007,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,high,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK04,2024,medium_2_5yr,17.3,True,,semi_annual,False,§25(a)
RISK-BANK04-2024-0008,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,5,critical,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK04,2024,long_5yr_plus,423.4,True,,monthly,False,§25(a)
RISK-BANK05-2023-0001,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,2,2,medium,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK05,2023,short_0_2yr,3.1,False,,annual,False,§25(a)
RISK-BANK05-2023-0002,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",2,2,medium,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK05,2023,short_0_2yr,5.8,False,,annual,True,§25(a)
RISK-BANK05-2023-0003,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,4,critical,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK05,2023,medium_2_5yr,131.5,True,SCN0074,quarterly,False,§25(a)
RISK-BANK05-2023-0004,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK05,2023,short_0_2yr,162.6,True,,quarterly,True,§25(a)
RISK-BANK05-2023-0005,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,3,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK05,2023,short_0_2yr,31.3,False,SCN0083,semi_annual,False,§25(a)
RISK-BANK05-2023-0006,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,2,high,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK05,2023,medium_2_5yr,9.3,True,SCN0078,semi_annual,True,§25(a)
RISK-BANK05-2023-0007,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK05,2023,long_5yr_plus,81.3,True,SCN0084,semi_annual,False,§25(a)
RISK-BANK05-2023-0008,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK05,2023,long_5yr_plus,131.0,True,,semi_annual,True,§25(a)
RISK-BANK05-2024-0001,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,critical,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",BANK05,2024,medium_2_5yr,88.9,True,SCN0084,quarterly,True,§25(a)
RISK-BANK05-2024-0002,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,2,medium,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK05,2024,medium_2_5yr,13.7,False,SCN0082,annual,False,§25(a)
RISK-BANK05-2024-0003,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,2,high,Enhanced financed-emissions disclosure controls and client engagement on transition plans,BANK05,2024,short_0_2yr,8.2,True,,semi_annual,False,§25(a)
RISK-BANK05-2024-0004,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,2,2,medium,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",BANK05,2024,short_0_2yr,8.8,False,,annual,False,§25(a)
RISK-BANK05-2024-0005,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,high,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",BANK05,2024,short_0_2yr,77.5,True,SCN0081,semi_annual,False,§25(a)
RISK-BANK05-2024-0006,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,4,high,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",BANK05,2024,medium_2_5yr,118.1,False,SCN0077,semi_annual,False,§25(a)
RISK-BANK05-2024-0007,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",3,3,high,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",BANK05,2024,medium_2_5yr,19.1,True,SCN0079,semi_annual,False,§25(a)
RISK-BANK05-2024-0008,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,3,high,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",BANK05,2024,medium_2_5yr,25.7,True,SCN0073,semi_annual,False,§25(a)
