risk_id,bank_id,risk_category,risk_rating,risk_name,risk_description,likelihood_score,severity_score,mitigation_actions,reporting_year,time_horizon,financial_impact_meur,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK01-2024-0005,BANK01,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,4,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,long_5yr_plus,136.5,True,,quarterly,False,§25(a)
RISK-BANK01-2024-0006,BANK01,transition_technology,critical,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,4,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,short_0_2yr,165.2,True,SCN0011,quarterly,True,§25(a)
RISK-BANK01-2024-0007,BANK01,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,medium_2_5yr,65.5,True,SCN0013,semi_annual,True,§25(a)
RISK-BANK01-2024-0008,BANK01,transition_policy,critical,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",4,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,67.5,True,,quarterly,True,§25(a)
RISK-BANK02-2023-0001,BANK02,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,short_0_2yr,33.0,False,SCN0024,semi_annual,False,§25(a)
RISK-BANK02-2023-0002,BANK02,physical_chronic,critical,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",5,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2023,long_5yr_plus,33.0,True,SCN0032,quarterly,False,§25(a)
RISK-BANK02-2023-0003,BANK02,physical_acute,high,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2023,short_0_2yr,72.6,True,SCN0030,semi_annual,True,§25(a)
RISK-BANK02-2023-0004,BANK02,transition_policy,critical,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,short_0_2yr,122.8,True,,quarterly,True,§25(a)
RISK-BANK02-2023-0005,BANK02,transition_reputational,critical,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,4,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2023,short_0_2yr,54.1,True,SCN0022,quarterly,False,§25(a)
RISK-BANK02-2023-0006,BANK02,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,4,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2023,short_0_2yr,124.9,True,SCN0035,semi_annual,False,§25(a)
RISK-BANK02-2023-0007,BANK02,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2023,long_5yr_plus,558.7,True,,monthly,False,§25(a)
RISK-BANK02-2023-0008,BANK02,physical_acute,high,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,3,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2023,long_5yr_plus,30.1,True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0001,BANK02,physical_chronic,critical,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,4,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2024,short_0_2yr,70.0,True,,quarterly,True,§25(a)
RISK-BANK02-2024-0002,BANK02,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,5,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2024,long_5yr_plus,229.4,True,SCN0031,quarterly,True,§25(a)
RISK-BANK02-2024-0003,BANK02,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,20.1,True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0004,BANK02,transition_reputational,critical,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,medium_2_5yr,9.2,True,,quarterly,True,§25(a)
RISK-BANK02-2024-0005,BANK02,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,3,5,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2024,medium_2_5yr,441.2,True,,quarterly,False,§25(a)
RISK-BANK02-2024-0006,BANK02,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,medium_2_5yr,131.1,True,SCN0035,monthly,True,§25(a)
RISK-BANK02-2024-0007,BANK02,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,3,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,long_5yr_plus,14.7,False,SCN0033,semi_annual,False,§25(a)
RISK-BANK02-2024-0008,BANK02,transition_policy,critical,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,short_0_2yr,34.5,True,,quarterly,True,§25(a)
RISK-BANK03-2023-0001,BANK03,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,5,3,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2023,short_0_2yr,23.5,True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2023-0002,BANK03,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,short_0_2yr,12.3,True,,semi_annual,False,§25(a)
RISK-BANK03-2023-0003,BANK03,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,4,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2023,short_0_2yr,135.0,True,SCN0042,quarterly,True,§25(a)
RISK-BANK03-2023-0004,BANK03,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,short_0_2yr,61.8,True,SCN0048,semi_annual,False,§25(a)
RISK-BANK03-2023-0005,BANK03,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2023,medium_2_5yr,398.6,True,,monthly,False,§25(a)
RISK-BANK03-2023-0006,BANK03,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,3,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2023,long_5yr_plus,13.1,False,,semi_annual,True,§25(a)
RISK-BANK03-2023-0007,BANK03,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2023,medium_2_5yr,88.9,True,,semi_annual,True,§25(a)
RISK-BANK03-2023-0008,BANK03,physical_chronic,critical,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,5,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2023,long_5yr_plus,199.5,True,SCN0048,quarterly,True,§25(a)
RISK-BANK03-2024-0001,BANK03,transition_reputational,critical,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,5,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,medium_2_5yr,15.8,True,SCN0039,quarterly,False,§25(a)
RISK-BANK03-2024-0002,BANK03,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",4,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,31.3,True,SCN0043,semi_annual,True,§25(a)
RISK-BANK03-2024-0003,BANK03,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,long_5yr_plus,91.8,True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0004,BANK03,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,5,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2024,medium_2_5yr,577.0,True,,quarterly,False,§25(a)
RISK-BANK03-2024-0005,BANK03,transition_technology,critical,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,4,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,short_0_2yr,84.1,True,SCN0047,quarterly,False,§25(a)
RISK-BANK03-2024-0006,BANK03,physical_chronic,high,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2024,medium_2_5yr,13.9,True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0007,BANK03,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,3,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,medium_2_5yr,33.1,True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2024-0008,BANK03,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,4,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2024,short_0_2yr,152.9,True,SCN0047,quarterly,False,§25(a)
RISK-BANK04-2023-0001,BANK04,physical_chronic,critical,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",5,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2023,long_5yr_plus,27.5,True,,quarterly,False,§25(a)
RISK-BANK04-2023-0002,BANK04,physical_acute,high,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,3,3,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2023,medium_2_5yr,20.3,True,,semi_annual,True,§25(a)
RISK-BANK04-2023-0003,BANK04,transition_market,high,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",4,3,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2023,long_5yr_plus,29.4,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0004,BANK04,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,4,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2023,medium_2_5yr,79.5,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0005,BANK04,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,medium_2_5yr,28.2,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0006,BANK04,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,medium_2_5yr,14.6,True,SCN0063,semi_annual,False,§25(a)
RISK-BANK04-2023-0007,BANK04,physical_acute,high,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,3,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2023,medium_2_5yr,25.9,True,SCN0065,semi_annual,False,§25(a)
RISK-BANK04-2023-0008,BANK04,transition_technology,critical,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,5,5,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2023,short_0_2yr,812.0,True,,monthly,False,§25(a)
RISK-BANK04-2024-0001,BANK04,transition_market,critical,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",5,5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,medium_2_5yr,1774.5,True,SCN0058,monthly,True,§25(a)
RISK-BANK04-2024-0002,BANK04,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,3,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,short_0_2yr,36.9,True,SCN0060,semi_annual,False,§25(a)
RISK-BANK04-2024-0003,BANK04,physical_chronic,high,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2024,long_5yr_plus,20.6,True,SCN0069,semi_annual,False,§25(a)
RISK-BANK04-2024-0004,BANK04,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,13.9,True,,semi_annual,True,§25(a)
RISK-BANK04-2024-0005,BANK04,physical_acute,critical,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,4,5,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2024,long_5yr_plus,231.8,True,SCN0062,monthly,False,§25(a)
RISK-BANK04-2024-0006,BANK04,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2024,short_0_2yr,64.1,True,SCN0072,quarterly,False,§25(a)
RISK-BANK04-2024-0007,BANK04,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,3,3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,medium_2_5yr,17.3,True,,semi_annual,False,§25(a)
RISK-BANK04-2024-0008,BANK04,transition_policy,critical,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",4,5,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,long_5yr_plus,423.4,True,,monthly,False,§25(a)
RISK-BANK05-2023-0001,BANK05,physical_acute,medium,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,2,2,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2023,short_0_2yr,3.1,False,,annual,False,§25(a)
RISK-BANK05-2023-0002,BANK05,transition_market,medium,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",2,2,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2023,short_0_2yr,5.8,False,,annual,True,§25(a)
RISK-BANK05-2023-0003,BANK05,transition_reputational,critical,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,4,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2023,medium_2_5yr,131.5,True,SCN0074,quarterly,False,§25(a)
RISK-BANK05-2023-0004,BANK05,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2023,short_0_2yr,162.6,True,,quarterly,True,§25(a)
RISK-BANK05-2023-0005,BANK05,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,4,3,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2023,short_0_2yr,31.3,False,SCN0083,semi_annual,False,§25(a)
RISK-BANK05-2023-0006,BANK05,physical_chronic,high,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",4,2,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2023,medium_2_5yr,9.3,True,SCN0078,semi_annual,True,§25(a)
RISK-BANK05-2023-0007,BANK05,transition_policy,high,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,long_5yr_plus,81.3,True,SCN0084,semi_annual,False,§25(a)
RISK-BANK05-2023-0008,BANK05,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2023,long_5yr_plus,131.0,True,,semi_annual,True,§25(a)
RISK-BANK05-2024-0001,BANK05,physical_acute,critical,Physical risk — wildfire exposure in southern portfolio,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,4,4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",2024,medium_2_5yr,88.9,True,SCN0084,quarterly,True,§25(a)
RISK-BANK05-2024-0002,BANK05,transition_policy,medium,Transition risk — building energy performance regulation,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",3,2,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,medium_2_5yr,13.7,False,SCN0082,annual,False,§25(a)
RISK-BANK05-2024-0003,BANK05,transition_reputational,high,Reputational risk — financed emissions scrutiny,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,4,2,Enhanced financed-emissions disclosure controls and client engagement on transition plans,2024,short_0_2yr,8.2,True,,semi_annual,False,§25(a)
RISK-BANK05-2024-0004,BANK05,physical_acute,medium,Physical risk — mortgage book flood exposure,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,2,2,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",2024,short_0_2yr,8.8,False,,annual,False,§25(a)
RISK-BANK05-2024-0005,BANK05,transition_policy,high,Transition risk — carbon pricing on industrial loans,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",3,4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",2024,short_0_2yr,77.5,True,SCN0081,semi_annual,False,§25(a)
RISK-BANK05-2024-0006,BANK05,transition_technology,high,Transition risk — EV shift in auto lending,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,3,4,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",2024,medium_2_5yr,118.1,False,SCN0077,semi_annual,False,§25(a)
RISK-BANK05-2024-0007,BANK05,transition_market,high,Stranded assets — fossil fuel sector exposure,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",3,3,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",2024,medium_2_5yr,19.1,True,SCN0079,semi_annual,False,§25(a)
RISK-BANK05-2024-0008,BANK05,physical_chronic,high,Physical risk — heat stress on agricultural borrowers,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",3,3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",2024,medium_2_5yr,25.7,True,SCN0073,semi_annual,False,§25(a)
